Nitrogenio,Fosforo,Potassio,pH_Solo,Umidade_Solo,Temperatura,Precipitacao_mm
0,1,0,5.41,69.83,24.91,3.61
0,1,0,5.21,84.06,31.8,12.51
0,0,0,5.99,81.77,25.79,0.08
1,1,1,5.7,64.59,33.47,3.84
0,1,1,5.22,54.51,21.31,4.79
0,1,0,5.9,69.44,19.94,4.49
0,1,0,5.49,87.92,28.28,14.2
0,0,1,4.97,77.69,24.86,1.06
0,1,0,5.14,90.67,28.81,12.15
0,0,0,6.02,89.26,18.37,6.94
1,1,0,5.21,92.68,29.64,12.45
0,1,1,5.51,75.24,34.41,11.62
0,1,0,5.52,89.18,34.72,7.06
0,1,1,5.29,85.36,24.86,2.27
0,0,0,6.2,83.47,20.73,9.32
0,0,1,5.0,94.47,29.42,13.12
0,1,0,4.7,86.63,24.64,9.83
1,0,1,4.88,92.93,32.52,6.75
1,0,0,5.18,76.61,30.74,6.35
0,1,1,5.36,80.18,22.35,0.64
0,1,1,5.88,93.19,23.56,6.88
0,1,1,5.71,30.63,23.54,3.15
1,1,1,4.76,93.27,19.32,9.94
1,1,0,5.86,81.61,24.18,8.66
1,0,0,5.35,82.58,34.37,14.01
0,1,1,5.77,78.5,20.84,12.05
0,0,0,6.02,42.88,28.65,4.95
0,0,1,5.23,84.26,20.86,1.01
1,0,1,5.17,75.18,25.93,6.03
0,0,0,6.35,90.81,22.34,10.89
0,0,1,5.19,83.57,26.64,13.89
0,0,1,5.42,90.8,24.25,7.1
0,0,0,7.17,93.47,33.12,10.09
1,1,1,5.51,76.05,34.05,7.22
0,1,0,5.63,43.44,26.87,1.53
0,1,1,4.56,85.44,18.59,4.51
0,0,1,5.51,86.83,20.76,6.62
1,1,0,5.34,73.24,22.45,3.55
0,1,0,4.93,80.6,28.31,10.23
0,1,1,4.64,86.43,19.38,11.52
1,0,0,5.06,45.56,27.42,3.07
0,0,1,5.85,76.09,22.09,5.98
0,1,1,5.51,90.88,23.12,12.25
1,1,1,4.76,43.43,31.25,0.49
1,1,1,5.1,80.35,28.41,4.61
0,0,1,5.98,31.66,31.81,2.13
1,0,0,4.86,86.17,27.74,5.51
0,1,1,5.92,85.85,27.21,9.28
0,1,0,5.13,92.33,27.96,5.91
1,0,1,5.22,91.71,28.33,6.24
0,1,0,5.86,37.13,24.28,1.62
0,1,0,5.13,90.14,34.66,11.84
0,1,0,4.52,58.71,22.38,4.47
0,0,1,5.7,91.24,23.96,14.24
0,1,0,5.92,84.5,25.79,4.11
0,0,1,4.6,76.92,21.35,14.56
0,0,0,6.8,80.63,26.42,13.3
0,0,1,4.52,92.07,27.66,7.12
1,0,1,4.82,86.75,25.82,5.47
1,1,1,5.85,89.69,26.52,7.57
0,0,0,6.07,71.83,23.04,2.21
1,0,0,5.62,77.93,34.02,2.9
0,0,1,5.86,87.63,30.4,7.59
0,1,0,4.55,39.14,33.3,4.29
0,1,1,5.51,41.46,18.1,3.34
1,0,1,4.63,69.68,20.58,4.9
0,1,1,5.15,76.92,29.44,7.84
1,1,0,4.95,44.57,18.53,3.41
1,0,1,5.69,45.42,23.59,4.4
1,1,0,5.88,78.45,30.34,7.02
0,0,0,6.94,89.65,25.92,14.97
0,0,1,5.75,35.19,19.6,3.2
1,1,0,4.66,83.84,28.18,8.67
0,0,1,5.67,88.93,26.21,13.76
0,0,1,5.87,85.3,26.29,9.07
1,1,0,5.11,94.44,25.3,10.64
1,0,1,4.52,77.42,32.6,6.97
0,0,1,5.98,93.09,28.94,8.53
0,1,1,4.91,82.6,28.93,10.68
0,1,1,4.55,72.54,19.6,4.49
1,1,1,4.8,94.04,31.68,7.18
1,0,1,4.85,85.28,28.83,6.32
1,0,0,5.36,58.0,19.56,0.75
1,0,0,6.0,87.49,31.93,11.83
0,1,1,4.62,81.29,20.29,10.96
1,1,0,5.53,84.22,23.67,7.3
0,1,1,5.79,84.12,32.23,2.15
0,0,1,5.03,80.22,29.74,5.76
