Temperatura,Precipitacao,pH,N,P,K,Umidade_Solo
30.9,17.38,6.67,1,1,1,79.63
16.62,8.26,7.28,0,1,0,73.79
33.54,24.97,6.33,0,0,0,98.42
15.97,0.48,7.28,1,0,1,53.21
31.44,23.87,5.03,0,0,0,89.26
16.12,2.75,7.3,1,0,0,62.73
35.85,23.36,5.25,0,0,1,83.95
25.49,13.57,6.09,1,1,0,76.55
15.37,14.32,5.08,1,0,1,89.17
16.22,16.74,6.39,1,0,0,97.32
29.95,0.57,7.71,0,1,1,37.14
19.01,6.76,6.32,0,1,1,67.49
38.55,10.54,7.51,0,1,0,52.04
32.35,17.47,6.93,0,0,1,79.26
31.15,21.83,7.14,0,1,0,88.97
19.56,23.05,7.36,1,1,1,100.0
22.36,13.92,7.03,0,1,1,81.54
38.09,18.74,6.41,0,1,0,74.92
17.07,0.83,5.5,0,0,0,54.11
31.38,2.53,7.63,1,1,0,38.7
15.41,6.24,7.53,0,0,1,66.63
34.81,8.95,5.84,0,0,1,51.82
23.88,5.82,5.89,1,1,0,57.57
20.25,22.56,7.93,1,0,1,100.0
23.54,7.92,5.79,0,1,1,63.2
17.18,20.73,7.29,1,0,0,100.0
28.45,15.21,5.78,1,0,0,77.14
20.19,14.91,6.96,0,0,0,86.3
36.05,6.1,6.91,0,0,0,45.01
25.76,17.48,6.97,0,0,0,83.97
30.99,18.81,5.28,1,0,1,79.05
37.52,17.46,6.76,1,0,0,73.94
30.11,6.35,7.06,1,0,1,55.0
20.03,19.5,6.01,0,1,1,96.65
22.69,2.53,6.61,0,1,0,54.99
23.86,6.37,7.74,1,1,1,53.41
18.95,23.62,6.12,1,1,0,100.0
15.61,12.6,5.71,0,1,0,86.12
18.34,5.22,7.81,0,0,0,60.97
33.16,4.68,5.84,1,0,0,48.16
24.83,0.93,7.26,0,1,1,46.81
18.65,18.56,6.74,1,0,1,97.67
38.85,5.95,6.43,0,1,1,41.65
19.49,2.94,7.72,0,1,1,51.99
30.02,5.81,7.91,0,0,0,48.42
34.3,6.82,7.55,1,0,1,46.02
38.3,3.84,6.29,0,0,1,38.08
19.16,9.93,6.28,1,1,1,73.02
28.02,24.41,5.22,1,0,1,95.7
34.57,8.06,6.38,1,0,1,51.89
27.48,5.52,7.9,0,1,1,50.47
16.89,17.43,7.61,0,1,0,89.49
15.01,1.39,7.43,0,1,1,57.94
17.23,23.11,5.72,0,0,0,100.0
37.53,9.96,6.18,1,1,0,55.32
38.13,11.09,7.74,1,1,1,48.24
15.45,19.23,6.48,0,1,1,100.0
32.09,3.71,7.08,0,0,1,44.2
26.98,5.37,6.21,0,1,0,52.99
18.69,0.12,7.81,0,1,1,45.03
21.05,12.65,5.27,0,0,1,73.2
25.62,13.5,7.53,1,0,0,72.48
24.08,17.54,6.82,1,1,0,88.67
32.34,3.93,6.66,0,0,0,42.6
32.22,2.68,6.75,1,0,0,44.11
35.25,10.5,7.41,0,1,0,60.8
36.94,7.58,6.97,1,0,1,48.98
32.78,5.5,5.41,1,0,1,44.1
15.39,18.45,7.12,0,0,0,100.0
34.37,22.83,6.16,0,1,1,87.46
25.66,20.71,7.74,0,0,1,90.7
19.93,12.54,5.89,1,1,0,83.47
28.08,24.59,7.22,0,1,0,100.0
18.35,24.23,7.84,1,0,0,100.0
20.7,18.79,5.06,0,1,0,89.31
